id,peak,average
578080,623852,449355.0833333333
570,855495,757053.3333333334
1086940,875343,192988.58333333334
1172470,624473,475930.75
990080,527652,87902.45454545454
730,1802853,1414604.5
1599340,333008,116054.0
1085660,316651,150504.66666666666
1326470,411804,69997.0
1716740,330597,134400.75
1568590,701898,134229.91666666666
440,253225,139231.25
252490,182335,155249.83333333334
1938090,190273,139828.33333333334
271590,295651,181964.25
1091500,273990,79253.5
2050650,111172,34671.7
1203220,295419,200032.08333333334
2073850,242399,242399.0
238960,209526,79426.58333333333
1888160,156022,55172.0
1966720,239369,142469.0
322330,114109,67554.41666666667
949230,76549,50254.333333333336
2195250,81526,74810.0
671860,86636,43035.28571428572
346110,94570,71150.5
289070,81217,73429.58333333333
1868140,98281,18664.0
304930,112648,72716.66666666667
230410,115322,74251.83333333333
550,85147,56851.333333333336
739630,86124,35219.0
381210,87747,56603.166666666664
359550,95149,75104.08333333333
1238810,114017,39615.416666666664
892970,102613,48981.25
2252570,86828,85394.5
1517290,107006,30749.333333333332
236390,114806,97497.66666666667
1260320,57806,30531.75
1811260,110757,67385.0
251570,96208,53580.833333333336
1245620,106913,62382.5
1282100,110756,42336.666666666664
1920960,85283,49074.8
2399830,98047,83589.66666666667
582010,128866,45661.583333333336
1607250,46591,23765.5
1172620,41364,25215.333333333332
1272080,69112,26855.75
227300,69695,51910.083333333336
1604030,77285,14331.583333333334
1364780,70540,36593.71428571428
1449850,72871,45297.916666666664
221100,69372,60292.75
899770,40504,8779.333333333334
489830,41990,34082.666666666664
1919590,58662,33033.0
1774580,67583,17844.444444444445
4000,45181,38359.083333333336
1248130,53777,42698.166666666664
39210,47992,36378.5
292030,79210,32375.25
1063730,77642,33717.583333333336
2420510,45173,14180.6
105600,68151,57373.583333333336
255710,41225,30464.0
394360,78086,55015.666666666664
1782210,55713,23024.333333333332
1928420,41396,26614.333333333332
1142710,73613,35953.916666666664
438100,46509,38490.083333333336
1448440,75373,10341.5
2357570,75361,44797.0
108600,59562,43521.083333333336
1174180,77335,58104.5
218620,69634,54532.083333333336
1337520,41838,24365.0
1222670,54638,44968.666666666664
1669000,42826,9087.5
252950,51401,42978.666666666664
242760,76107,25817.583333333332
1446780,67135,34923.833333333336
2322560,64868,41840.0
413150,59095,50665.083333333336
594650,44527,34403.75
1501750,32235,14860.666666666666
1281930,46377,36536.916666666664
